Number;Date-Time;Temp(°C)
1;22.07.2024 08:00:00;35,76
2;22.07.2024 08:00:05;35,73
3;22.07.2024 08:00:10;35,62
4;22.07.2024 08:00:15;35,62
5;22.07.2024 08:00:20;35,62
6;22.07.2024 08:00:25;35,59
7;22.07.2024 08:00:30;35,57
8;22.07.2024 08:00:35;35,62
9;22.07.2024 08:00:40;35,62
10;22.07.2024 08:00:45;35,62
11;22.07.2024 08:00:50;35,73
12;22.07.2024 08:00:55;35,73
13;22.07.2024 08:01:00;35,73
14;22.07.2024 08:01:05;35,76
15;22.07.2024 08:01:10;35,73
16;22.07.2024 08:01:15;35,73
17;22.07.2024 08:01:20;35,70
18;22.07.2024 08:01:25;35,73
19;22.07.2024 08:01:30;35,73
20;22.07.2024 08:01:35;35,79
21;22.07.2024 08:01:40;35,73
22;22.07.2024 08:01:45;35,73
23;22.07.2024 08:01:50;35,73
24;22.07.2024 08:01:55;35,73
25;22.07.2024 08:02:00;35,76
26;22.07.2024 08:02:05;35,73
27;22.07.2024 08:02:10;35,79
28;22.07.2024 08:02:15;35,84
29;22.07.2024 08:02:20;35,95
30;22.07.2024 08:02:25;35,95
31;22.07.2024 08:02:30;36,01
32;22.07.2024 08:02:35;36,06
33;22.07.2024 08:02:40;36,06
34;22.07.2024 08:02:45;36,06
35;22.07.2024 08:02:50;36,06
36;22.07.2024 08:02:55;36,09
37;22.07.2024 08:03:00;36,17
38;22.07.2024 08:03:05;36,17
39;22.07.2024 08:03:10;36,17
40;22.07.2024 08:03:15;36,09
41;22.07.2024 08:03:20;36,06
42;22.07.2024 08:03:25;36,06
43;22.07.2024 08:03:30;36,04
44;22.07.2024 08:03:35;35,95
45;22.07.2024 08:03:40;35,95
46;22.07.2024 08:03:45;35,95
47;22.07.2024 08:03:50;35,95
48;22.07.2024 08:03:55;36,01
49;22.07.2024 08:04:00;36,04
50;22.07.2024 08:04:05;35,95
51;22.07.2024 08:04:10;36,06
52;22.07.2024 08:04:15;36,06
53;22.07.2024 08:04:20;36,06
54;22.07.2024 08:04:25;36,06
55;22.07.2024 08:04:30;36,06
56;22.07.2024 08:04:35;35,95
57;22.07.2024 08:04:40;35,95
58;22.07.2024 08:04:45;35,84
59;22.07.2024 08:04:50;35,84
60;22.07.2024 08:04:55;35,84
61;22.07.2024 08:05:00;35,87
62;22.07.2024 08:05:05;35,87
63;22.07.2024 08:05:10;35,95
64;22.07.2024 08:05:15;35,95
65;22.07.2024 08:05:20;35,95
66;22.07.2024 08:05:25;36,06
67;22.07.2024 08:05:30;36,04
68;22.07.2024 08:05:35;35,98
69;22.07.2024 08:05:40;35,95
70;22.07.2024 08:05:45;35,95
71;22.07.2024 08:05:50;35,95
72;22.07.2024 08:05:55;35,90
73;22.07.2024 08:06:00;35,84
74;22.07.2024 08:06:05;35,84
75;22.07.2024 08:06:10;35,84
76;22.07.2024 08:06:15;35,84
77;22.07.2024 08:06:20;35,95
78;22.07.2024 08:06:25;35,95
79;22.07.2024 08:06:30;35,95
80;22.07.2024 08:06:35;35,95
81;22.07.2024 08:06:40;35,95
82;22.07.2024 08:06:45;35,95
83;22.07.2024 08:06:50;36,01
84;22.07.2024 08:06:55;36,06
85;22.07.2024 08:07:00;36,06
86;22.07.2024 08:07:05;36,06
87;22.07.2024 08:07:10;36,17
88;22.07.2024 08:07:15;36,28
89;22.07.2024 08:07:20;36,28
90;22.07.2024 08:07:25;36,40
91;22.07.2024 08:07:30;36,51
92;22.07.2024 08:07:35;36,51
93;22.07.2024 08:07:40;36,51
94;22.07.2024 08:07:45;36,62
95;22.07.2024 08:07:50;36,62
96;22.07.2024 08:07:55;36,62
97;22.07.2024 08:08:00;36,62
98;22.07.2024 08:08:05;36,59
99;22.07.2024 08:08:10;36,53
100;22.07.2024 08:08:15;36,56
101;22.07.2024 08:08:20;36,51
102;22.07.2024 08:08:25;36,51
103;22.07.2024 08:08:30;36,45
104;22.07.2024 08:08:35;36,42
105;22.07.2024 08:08:40;36,51
106;22.07.2024 08:08:45;36,51
107;22.07.2024 08:08:50;36,53
108;22.07.2024 08:08:55;36,56
109;22.07.2024 08:09:00;36,62
110;22.07.2024 08:09:05;36,62
111;22.07.2024 08:09:10;36,73
112;22.07.2024 08:09:15;36,78
113;22.07.2024 08:09:20;36,84
114;22.07.2024 08:09:25;36,84
115;22.07.2024 08:09:30;36,84
116;22.07.2024 08:09:35;36,89
117;22.07.2024 08:09:40;36,95
118;22.07.2024 08:09:45;36,95
119;22.07.2024 08:09:50;36,95
120;22.07.2024 08:09:55;36,95
121;22.07.2024 08:10:00;37,06
122;22.07.2024 08:10:05;37,06
123;22.07.2024 08:10:10;37,06
124;22.07.2024 08:10:15;37,06
125;22.07.2024 08:10:20;37,06
126;22.07.2024 08:10:25;37,06
127;22.07.2024 08:10:30;37,06
128;22.07.2024 08:10:35;37,12
129;22.07.2024 08:10:40;37,17
130;22.07.2024 08:10:45;37,17
131;22.07.2024 08:10:50;37,17
132;22.07.2024 08:10:55;37,17
133;22.07.2024 08:11:00;37,17
134;22.07.2024 08:11:05;37,17
135;22.07.2024 08:11:10;37,17
136;22.07.2024 08:11:15;37,23
137;22.07.2024 08:11:20;37,28
138;22.07.2024 08:11:25;37,28
139;22.07.2024 08:11:30;37,28
140;22.07.2024 08:11:35;37,28
141;22.07.2024 08:11:40;37,28
142;22.07.2024 08:11:45;37,28
143;22.07.2024 08:11:50;37,28
144;22.07.2024 08:11:55;37,28
145;22.07.2024 08:12:00;37,28
146;22.07.2024 08:12:05;37,28
147;22.07.2024 08:12:10;37,28
148;22.07.2024 08:12:15;37,28
149;22.07.2024 08:12:20;37,28
150;22.07.2024 08:12:25;37,28
151;22.07.2024 08:12:30;37,28
152;22.07.2024 08:12:35;37,28
153;22.07.2024 08:12:40;37,28
154;22.07.2024 08:12:45;37,28
155;22.07.2024 08:12:50;37,28
156;22.07.2024 08:12:55;37,28
157;22.07.2024 08:13:00;37,25
158;22.07.2024 08:13:05;37,23
159;22.07.2024 08:13:10;37,20
160;22.07.2024 08:13:15;37,20
161;22.07.2024 08:13:20;37,17
162;22.07.2024 08:13:25;37,17
163;22.07.2024 08:13:30;37,17
164;22.07.2024 08:13:35;37,17
165;22.07.2024 08:13:40;37,17
166;22.07.2024 08:13:45;37,17
167;22.07.2024 08:13:50;37,17
168;22.07.2024 08:13:55;37,17
169;22.07.2024 08:14:00;37,17
170;22.07.2024 08:14:05;37,09
171;22.07.2024 08:14:10;37,06
172;22.07.2024 08:14:15;37,03
173;22.07.2024 08:14:20;37,03
174;22.07.2024 08:14:25;37,06
175;22.07.2024 08:14:30;37,09
176;22.07.2024 08:14:35;37,17
177;22.07.2024 08:14:40;37,17
178;22.07.2024 08:14:45;37,17
179;22.07.2024 08:14:50;37,17
180;22.07.2024 08:14:55;37,17
181;22.07.2024 08:15:00;37,17
182;22.07.2024 08:15:05;37,23
183;22.07.2024 08:15:10;37,28
184;22.07.2024 08:15:15;37,28
185;22.07.2024 08:15:20;37,28
186;22.07.2024 08:15:25;37,28
187;22.07.2024 08:15:30;37,28
188;22.07.2024 08:15:35;37,28
189;22.07.2024 08:15:40;37,28
190;22.07.2024 08:15:45;37,28
191;22.07.2024 08:15:50;37,31
192;22.07.2024 08:15:55;37,34
193;22.07.2024 08:16:00;37,39
194;22.07.2024 08:16:05;37,39
195;22.07.2024 08:16:10;37,39
196;22.07.2024 08:16:15;37,39
197;22.07.2024 08:16:20;37,39
198;22.07.2024 08:16:25;37,39
199;22.07.2024 08:16:30;37,39
200;22.07.2024 08:16:35;37,39
201;22.07.2024 08:16:40;37,39
202;22.07.2024 08:16:45;37,31
203;22.07.2024 08:16:50;37,39
204;22.07.2024 08:16:55;37,31
205;22.07.2024 08:17:00;37,28
206;22.07.2024 08:17:05;37,17
207;22.07.2024 08:17:10;37,12
208;22.07.2024 08:17:15;37,06
209;22.07.2024 08:17:20;36,95
210;22.07.2024 08:17:25;36,95
211;22.07.2024 08:17:30;36,95
212;22.07.2024 08:17:35;36,95
213;22.07.2024 08:17:40;37,06
214;22.07.2024 08:17:45;37,06
215;22.07.2024 08:17:50;37,06
216;22.07.2024 08:17:55;37,06
217;22.07.2024 08:18:00;37,03
218;22.07.2024 08:18:05;36,95
219;22.07.2024 08:18:10;36,95
220;22.07.2024 08:18:15;36,95
221;22.07.2024 08:18:20;36,95
222;22.07.2024 08:18:25;36,95
223;22.07.2024 08:18:30;36,95
224;22.07.2024 08:18:35;36,98
225;22.07.2024 08:18:40;37,06
226;22.07.2024 08:18:45;37,12
227;22.07.2024 08:18:50;37,06
228;22.07.2024 08:18:55;37,06
229;22.07.2024 08:19:00;37,06
230;22.07.2024 08:19:05;37,09
231;22.07.2024 08:19:10;37,14
232;22.07.2024 08:19:15;37,17
233;22.07.2024 08:19:20;37,17
234;22.07.2024 08:19:25;37,17
235;22.07.2024 08:19:30;37,17
236;22.07.2024 08:19:35;37,17
