Number;Date-Time;Temp(°C)
1;22.07.2024 08:00:00;35,95
2;22.07.2024 08:00:05;35,95
3;22.07.2024 08:00:10;35,92
4;22.07.2024 08:00:15;35,95
5;22.07.2024 08:00:20;35,95
6;22.07.2024 08:00:25;35,95
7;22.07.2024 08:00:30;35,95
8;22.07.2024 08:00:35;35,95
9;22.07.2024 08:00:40;35,95
10;22.07.2024 08:00:45;36,03
11;22.07.2024 08:00:50;36,06
12;22.07.2024 08:00:55;36,06
13;22.07.2024 08:01:00;36,06
14;22.07.2024 08:01:05;36,06
15;22.07.2024 08:01:10;36,06
16;22.07.2024 08:01:15;36,08
17;22.07.2024 08:01:20;36,17
18;22.07.2024 08:01:25;36,08
19;22.07.2024 08:01:30;36,06
20;22.07.2024 08:01:35;36,11
21;22.07.2024 08:01:40;36,17
22;22.07.2024 08:01:45;36,17
23;22.07.2024 08:01:50;36,17
24;22.07.2024 08:01:55;36,17
25;22.07.2024 08:02:00;36,17
26;22.07.2024 08:02:05;36,17
27;22.07.2024 08:02:10;36,17
28;22.07.2024 08:02:15;36,17
29;22.07.2024 08:02:20;36,17
30;22.07.2024 08:02:25;36,17
31;22.07.2024 08:02:30;36,28
32;22.07.2024 08:02:35;36,39
33;22.07.2024 08:02:40;36,39
34;22.07.2024 08:02:45;36,47
35;22.07.2024 08:02:50;36,50
36;22.07.2024 08:02:55;36,50
37;22.07.2024 08:03:00;36,50
38;22.07.2024 08:03:05;36,50
39;22.07.2024 08:03:10;36,50
40;22.07.2024 08:03:15;36,50
41;22.07.2024 08:03:20;36,53
42;22.07.2024 08:03:25;36,58
43;22.07.2024 08:03:30;36,61
44;22.07.2024 08:03:35;36,61
45;22.07.2024 08:03:40;36,61
46;22.07.2024 08:03:45;36,61
47;22.07.2024 08:03:50;36,61
48;22.07.2024 08:03:55;36,61
49;22.07.2024 08:04:00;36,72
50;22.07.2024 08:04:05;36,72
51;22.07.2024 08:04:10;36,72
52;22.07.2024 08:04:15;36,72
53;22.07.2024 08:04:20;36,72
54;22.07.2024 08:04:25;36,72
55;22.07.2024 08:04:30;36,81
56;22.07.2024 08:04:35;36,83
57;22.07.2024 08:04:40;36,83
58;22.07.2024 08:04:45;36,83
59;22.07.2024 08:04:50;36,83
60;22.07.2024 08:04:55;36,86
61;22.07.2024 08:05:00;36,86
62;22.07.2024 08:05:05;36,94
63;22.07.2024 08:05:10;36,94
64;22.07.2024 08:05:15;36,94
65;22.07.2024 08:05:20;36,94
66;22.07.2024 08:05:25;36,94
67;22.07.2024 08:05:30;36,94
68;22.07.2024 08:05:35;36,94
69;22.07.2024 08:05:40;36,94
70;22.07.2024 08:05:45;36,97
71;22.07.2024 08:05:50;37,06
72;22.07.2024 08:05:55;37,06
73;22.07.2024 08:06:00;37,06
74;22.07.2024 08:06:05;37,06
75;22.07.2024 08:06:10;37,06
76;22.07.2024 08:06:15;37,06
77;22.07.2024 08:06:20;37,06
78;22.07.2024 08:06:25;37,06
79;22.07.2024 08:06:30;37,06
80;22.07.2024 08:06:35;37,06
81;22.07.2024 08:06:40;37,06
82;22.07.2024 08:06:45;37,14
83;22.07.2024 08:06:50;37,17
84;22.07.2024 08:06:55;37,17
85;22.07.2024 08:07:00;37,17
86;22.07.2024 08:07:05;37,17
87;22.07.2024 08:07:10;37,17
88;22.07.2024 08:07:15;37,17
89;22.07.2024 08:07:20;37,19
90;22.07.2024 08:07:25;37,22
91;22.07.2024 08:07:30;37,28
92;22.07.2024 08:07:35;37,28
93;22.07.2024 08:07:40;37,28
94;22.07.2024 08:07:45;37,28
95;22.07.2024 08:07:50;37,31
96;22.07.2024 08:07:55;37,39
97;22.07.2024 08:08:00;37,39
98;22.07.2024 08:08:05;37,39
99;22.07.2024 08:08:10;37,39
100;22.07.2024 08:08:15;37,39
101;22.07.2024 08:08:20;37,39
102;22.07.2024 08:08:25;37,39
103;22.07.2024 08:08:30;37,42
104;22.07.2024 08:08:35;37,50
105;22.07.2024 08:08:40;37,50
106;22.07.2024 08:08:45;37,50
107;22.07.2024 08:08:50;37,61
108;22.07.2024 08:08:55;37,61
109;22.07.2024 08:09:00;37,61
110;22.07.2024 08:09:05;37,61
111;22.07.2024 08:09:10;37,61
112;22.07.2024 08:09:15;37,61
113;22.07.2024 08:09:20;37,61
114;22.07.2024 08:09:25;37,61
115;22.07.2024 08:09:30;37,61
116;22.07.2024 08:09:35;37,61
117;22.07.2024 08:09:40;37,61
118;22.07.2024 08:09:45;37,61
119;22.07.2024 08:09:50;37,61
120;22.07.2024 08:09:55;37,61
121;22.07.2024 08:10:00;37,61
122;22.07.2024 08:10:05;37,61
123;22.07.2024 08:10:10;37,61
124;22.07.2024 08:10:15;37,61
125;22.07.2024 08:10:20;37,67
126;22.07.2024 08:10:25;37,72
127;22.07.2024 08:10:30;37,72
128;22.07.2024 08:10:35;37,72
129;22.07.2024 08:10:40;37,72
130;22.07.2024 08:10:45;37,72
131;22.07.2024 08:10:50;37,72
132;22.07.2024 08:10:55;37,72
133;22.07.2024 08:11:00;37,72
134;22.07.2024 08:11:05;37,72
135;22.07.2024 08:11:10;37,72
136;22.07.2024 08:11:15;37,72
137;22.07.2024 08:11:20;37,72
138;22.07.2024 08:11:25;37,72
139;22.07.2024 08:11:30;37,72
140;22.07.2024 08:11:35;37,72
141;22.07.2024 08:11:40;37,64
142;22.07.2024 08:11:45;37,61
143;22.07.2024 08:11:50;37,61
144;22.07.2024 08:11:55;37,70
145;22.07.2024 08:12:00;37,64
146;22.07.2024 08:12:05;37,72
147;22.07.2024 08:12:10;37,72
148;22.07.2024 08:12:15;37,72
149;22.07.2024 08:12:20;37,72
150;22.07.2024 08:12:25;37,72
151;22.07.2024 08:12:30;37,72
152;22.07.2024 08:12:35;37,70
153;22.07.2024 08:12:40;37,61
154;22.07.2024 08:12:45;37,61
155;22.07.2024 08:12:50;37,61
156;22.07.2024 08:12:55;37,61
157;22.07.2024 08:13:00;37,61
158;22.07.2024 08:13:05;37,61
159;22.07.2024 08:13:10;37,61
160;22.07.2024 08:13:15;37,61
161;22.07.2024 08:13:20;37,61
162;22.07.2024 08:13:25;37,50
163;22.07.2024 08:13:30;37,50
164;22.07.2024 08:13:35;37,50
165;22.07.2024 08:13:40;37,50
166;22.07.2024 08:13:45;37,39
167;22.07.2024 08:13:50;37,39
168;22.07.2024 08:13:55;37,50
169;22.07.2024 08:14:00;37,50
170;22.07.2024 08:14:05;37,53
171;22.07.2024 08:14:10;37,61
172;22.07.2024 08:14:15;37,61
173;22.07.2024 08:14:20;37,61
174;22.07.2024 08:14:25;37,61
175;22.07.2024 08:14:30;37,61
176;22.07.2024 08:14:35;37,61
177;22.07.2024 08:14:40;37,61
178;22.07.2024 08:14:45;37,61
179;22.07.2024 08:14:50;37,61
180;22.07.2024 08:14:55;37,61
181;22.07.2024 08:15:00;37,58
182;22.07.2024 08:15:05;37,50
183;22.07.2024 08:15:10;37,53
184;22.07.2024 08:15:15;37,61
185;22.07.2024 08:15:20;37,58
186;22.07.2024 08:15:25;37,61
187;22.07.2024 08:15:30;37,61
188;22.07.2024 08:15:35;37,61
189;22.07.2024 08:15:40;37,61
190;22.07.2024 08:15:45;37,72
191;22.07.2024 08:15:50;37,72
192;22.07.2024 08:15:55;37,75
193;22.07.2024 08:16:00;37,83
194;22.07.2024 08:16:05;37,83
195;22.07.2024 08:16:10;37,83
196;22.07.2024 08:16:15;37,83
197;22.07.2024 08:16:20;37,83
198;22.07.2024 08:16:25;37,81
199;22.07.2024 08:16:30;37,81
200;22.07.2024 08:16:35;37,78
201;22.07.2024 08:16:40;37,75
202;22.07.2024 08:16:45;37,83
203;22.07.2024 08:16:50;37,83
204;22.07.2024 08:16:55;37,81
205;22.07.2024 08:17:00;37,72
206;22.07.2024 08:17:05;37,72
207;22.07.2024 08:17:10;37,72
208;22.07.2024 08:17:15;37,72
209;22.07.2024 08:17:20;37,72
210;22.07.2024 08:17:25;37,72
211;22.07.2024 08:17:30;37,72
212;22.07.2024 08:17:35;37,67
213;22.07.2024 08:17:40;37,61
214;22.07.2024 08:17:45;37,61
215;22.07.2024 08:17:50;37,61
216;22.07.2024 08:17:55;37,61
217;22.07.2024 08:18:00;37,61
218;22.07.2024 08:18:05;37,53
219;22.07.2024 08:18:10;37,58
220;22.07.2024 08:18:15;37,61
221;22.07.2024 08:18:20;37,61
222;22.07.2024 08:18:25;37,56
223;22.07.2024 08:18:30;37,50
224;22.07.2024 08:18:35;37,50
225;22.07.2024 08:18:40;37,50
226;22.07.2024 08:18:45;37,50
227;22.07.2024 08:18:50;37,50
228;22.07.2024 08:18:55;37,50
229;22.07.2024 08:19:00;37,50
230;22.07.2024 08:19:05;37,50
231;22.07.2024 08:19:10;37,50
232;22.07.2024 08:19:15;37,45
233;22.07.2024 08:19:20;37,39
234;22.07.2024 08:19:25;37,39
235;22.07.2024 08:19:30;37,39
236;22.07.2024 08:19:35;37,39
237;22.07.2024 08:19:40;37,39
238;22.07.2024 08:19:45;37,33
239;22.07.2024 08:19:50;37,39
240;22.07.2024 08:19:55;37,39
241;22.07.2024 08:20:00;37,39
242;22.07.2024 08:20:05;37,39
243;22.07.2024 08:20:10;37,39
244;22.07.2024 08:20:15;37,39
245;22.07.2024 08:20:20;37,50
246;22.07.2024 08:20:25;37,50
247;22.07.2024 08:20:30;37,50
248;22.07.2024 08:20:35;37,50
249;22.07.2024 08:20:40;37,42
250;22.07.2024 08:20:45;37,39
251;22.07.2024 08:20:50;37,39
252;22.07.2024 08:20:55;37,33
253;22.07.2024 08:21:00;37,28
254;22.07.2024 08:21:05;37,28
255;22.07.2024 08:21:10;37,28
256;22.07.2024 08:21:15;37,28
257;22.07.2024 08:21:20;37,28
258;22.07.2024 08:21:25;37,28
259;22.07.2024 08:21:30;37,28
260;22.07.2024 08:21:35;37,28
261;22.07.2024 08:21:40;37,28
262;22.07.2024 08:21:45;37,28
263;22.07.2024 08:21:50;37,22
264;22.07.2024 08:21:55;37,25
265;22.07.2024 08:22:00;37,17
266;22.07.2024 08:22:05;37,17
267;22.07.2024 08:22:10;37,17
268;22.07.2024 08:22:15;37,17
269;22.07.2024 08:22:20;37,17
270;22.07.2024 08:22:25;37,17
271;22.07.2024 08:22:30;37,17
272;22.07.2024 08:22:35;37,14
273;22.07.2024 08:22:40;37,06
274;22.07.2024 08:22:45;37,06
275;22.07.2024 08:22:50;37,06
276;22.07.2024 08:22:55;37,06
277;22.07.2024 08:23:00;37,06
278;22.07.2024 08:23:05;37,03
279;22.07.2024 08:23:10;36,97
280;22.07.2024 08:23:15;36,94
281;22.07.2024 08:23:20;36,94
282;22.07.2024 08:23:25;36,94
283;22.07.2024 08:23:30;36,94
284;22.07.2024 08:23:35;36,94
285;22.07.2024 08:23:40;36,94
286;22.07.2024 08:23:45;36,94
287;22.07.2024 08:23:50;36,94
288;22.07.2024 08:23:55;36,94
289;22.07.2024 08:24:00;36,94
290;22.07.2024 08:24:05;36,94
291;22.07.2024 08:24:10;36,94
292;22.07.2024 08:24:15;36,94
293;22.07.2024 08:24:20;36,94
294;22.07.2024 08:24:25;36,94
295;22.07.2024 08:24:30;36,94
296;22.07.2024 08:24:35;36,94
297;22.07.2024 08:24:40;36,94
298;22.07.2024 08:24:45;36,94
299;22.07.2024 08:24:50;37,06
300;22.07.2024 08:24:55;37,06
301;22.07.2024 08:25:00;37,06
302;22.07.2024 08:25:05;37,06
303;22.07.2024 08:25:10;37,06
304;22.07.2024 08:25:15;37,06
305;22.07.2024 08:25:20;37,06
306;22.07.2024 08:25:25;37,03
307;22.07.2024 08:25:30;37,00
308;22.07.2024 08:25:35;37,00
309;22.07.2024 08:25:40;37,06
310;22.07.2024 08:25:45;37,06
311;22.07.2024 08:25:50;37,06
312;22.07.2024 08:25:55;37,06
313;22.07.2024 08:26:00;37,06
314;22.07.2024 08:26:05;37,06
315;22.07.2024 08:26:10;37,06
316;22.07.2024 08:26:15;37,06
317;22.07.2024 08:26:20;37,06
318;22.07.2024 08:26:25;37,08
319;22.07.2024 08:26:30;37,08
320;22.07.2024 08:26:35;37,08
321;22.07.2024 08:26:40;37,11
322;22.07.2024 08:26:45;37,17
323;22.07.2024 08:26:50;37,17
324;22.07.2024 08:26:55;37,17
325;22.07.2024 08:27:00;37,17
326;22.07.2024 08:27:05;37,17
327;22.07.2024 08:27:10;37,17
328;22.07.2024 08:27:15;37,17
329;22.07.2024 08:27:20;37,17
330;22.07.2024 08:27:25;37,17
331;22.07.2024 08:27:30;37,17
332;22.07.2024 08:27:35;37,17
333;22.07.2024 08:27:40;37,17
